,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,class,A1
3299,16,27,761,18913,21896,479464734,18913,21896,479464734,14,7,55,2452,1394,1943935,0,3
3300,10,25,636,13496,17782,316234940,13496,17782,316234940,9,9,85,1536,1927,3716035,0,3
3301,11,12,163,17250,21334,455155051,17020,21460,460547940,14,8,72,2205,1285,1651452,0,3
3302,9,7,54,12336,17304,299441866,11819,17383,302196548,11,9,89,1853,1558,2427806,0,3
3303,25,33,1127,17483,21177,448498327,17486,21175,448408996,12,9,84,2038,1830,3350118,0,3
3304,24,36,1350,19437,22904,524600293,19435,22904,524628613,13,9,86,2281,1924,3703938,0,3
3305,17,28,813,22497,24188,585064900,22497,24188,585064900,14,7,61,2154,1424,2028009,0,3
3306,16,31,979,17670,20769,431380589,17670,20769,431380589,11,8,73,1568,1383,1913248,0,3
3307,23,47,2256,19949,23407,547898803,19949,23407,547898803,10,9,83,1619,1559,2432975,0,3
3308,8,6,40,22623,23716,562495651,22623,23716,562495651,14,8,66,2067,1250,1562929,0,3
3309,35,43,1904,18346,20941,438564638,18346,20941,438564638,15,9,90,2611,2202,4849733,0,3
3310,11,6,45,20055,22812,520403095,20055,22812,520403095,16,7,56,2454,1129,1275126,0,3
3311,9,14,197,16755,20569,423097625,16755,20569,423097625,9,7,58,1585,1508,2275105,0,3
3312,13,35,1273,22679,22780,518960849,22679,22780,518960849,7,8,64,1100,1304,1700849,0,3
3313,8,7,60,18045,22127,489605721,18045,22127,489605721,12,8,78,1667,1387,1923877,0,3
3314,20,34,1174,19762,20580,423570508,19762,20580,423570508,12,7,51,2063,1203,1448562,0,3
3315,10,9,82,20106,23365,545947645,20106,23365,545947645,14,9,92,2029,1334,1781728,0,3
3316,25,37,1405,16958,20319,412879716,17883,20408,416518417,15,7,63,2719,1824,3329365,0,3
3317,26,61,3780,20994,23117,534415940,20994,23117,534415940,12,9,81,1898,1607,2583803,0,3
3318,149,465,217057,18215,19714,388659009,18215,19714,388659009,10,7,49,1474,1215,1478021,0,3
3319,8,8,73,16641,22287,496715255,16592,22318,498133309,11,10,110,1912,2118,4487461,0,3
3320,19,30,942,18954,22030,485347233,18954,22030,485347233,15,8,69,2211,1263,1596449,0,3
3321,17,28,814,18664,22725,516430393,17466,22472,505034807,10,8,65,2078,2038,4153584,0,3
3322,15,28,788,20506,23315,543616774,20506,23315,543616774,11,9,81,1839,1846,3409311,0,3
3323,17,28,832,19832,22602,510878956,19832,22602,510878956,14,9,89,2203,1832,3358848,0,3
3324,27,76,5922,13258,18117,328232512,13251,18120,328344402,11,8,80,1591,1392,1940066,0,3
3325,11,21,462,23234,24320,591502421,21989,24040,577955401,9,9,87,1526,1642,2698530,0,3
3326,24,31,985,21847,22972,527715786,21847,22972,527715786,15,6,46,2850,2009,4036572,0,3
3327,12,25,634,19126,21888,479105598,19126,21888,479110428,10,8,70,1600,1418,2011197,0,3
3328,0,0,0,28335,22022,484986517,28335,22022,484986517,6,0,0,586,68,4738,1,3
3329,17,32,1047,20047,22502,506346086,20047,22502,506346086,9,8,75,1352,1361,1852510,0,3
3330,17,29,859,18121,22016,484748130,18121,22016,484748130,9,8,74,1633,1916,3674870,0,3
3331,13,23,552,22695,23773,565174439,22695,23773,565174439,12,7,60,1958,1478,2184841,0,3
3332,11,6,40,18161,21106,445491839,18161,21106,445491839,11,8,77,1597,1425,2030971,0,3
3333,14,13,174,16811,19803,392170048,16811,19803,392170048,12,9,92,1816,1554,2417227,0,3
3334,7,6,41,19639,22970,527636336,19639,22970,527636336,11,9,81,1618,1380,1906362,0,3
3335,38,42,1782,17845,21812,475802554,17845,21812,475802554,16,8,67,2769,1991,3964277,0,3
3336,8,8,78,20766,22702,515408259,20766,22702,515408259,12,9,84,2034,1818,3308119,0,3
3337,19,33,1154,17012,21212,449966230,15256,20788,432152311,13,8,78,2050,1331,1771726,0,3
3338,6,6,48,19569,22095,488230479,19569,22095,488230479,10,9,86,1486,1397,1953938,0,3
3339,11,16,269,19598,22532,507725243,19598,22532,507725243,10,7,61,1848,1645,2706670,0,3
3340,0,0,0,32643,24851,617578326,32643,24851,617578326,6,0,0,589,69,4844,1,3
3341,0,0,0,32752,24985,624268784,32752,24985,624268784,6,0,0,590,69,4830,1,3
3342,0,0,0,32613,24831,616608210,32613,24831,616608210,6,0,0,625,18,359,1,3
3343,0,0,0,33092,25311,640659386,33092,25311,640659386,6,0,0,625,15,229,1,3
